chrom,feat_acc,acc,CV,M,MSQ,SD,per_SD,per_M,per_MSQ,per_CV,per
1,AT1G27730,pCAMTA3-22C-cycloheximide_S6_peak_6037,0.9170252329186357,0.6022219069280206,0.6676542526876503,0.552252684469373,0.9998442436918695,0.9970406301455209,0.9976636553780428,0.7689243914378532,0.9998442436918695
4,AT4G27270,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_36361,1.1328680414693797,0.44583764972555034,0.4538721928800864,0.5050752250578956,0.9997552400872235,0.9931689733434204,0.9969516265408749,0.8054158693427084,0.9997552400872235
4,AT4G27280,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_36361,1.1328680414693797,0.44583764972555034,0.4538721928800864,0.5050752250578956,0.9997552400872235,0.9931689733434204,0.9969516265408749,0.8054158693427084,0.9997552400872235
1,AT1G07135,pCAMTA3-22C-cycloheximide_S6_peak_1496,1.1363791467969881,0.43514199337647763,0.4338652425975429,0.49448628716870235,0.9996662364825776,0.9925014463085755,0.9967736193315829,0.8059943927729073,0.9996662364825776
5,AT5G42380,pCAMTA3-22C-cycloheximide_S6_peak_50535,1.179935387899003,0.41857871857860945,0.41914124705591105,0.49389584267231923,0.9996217346802545,0.9905878688086868,0.9966846157269369,0.8124026523074185,0.9996217346802545
4,AT4G02380,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_32070,1.539264970844284,0.31768257334177424,0.3400409259493661,0.48899765699266323,0.9995772328779315,0.9702950469494015,0.9952605580526012,0.8552133861421387,0.9995772328779315
3,AT3G44260,pCAMTA3-22C-cycloheximide_S6_peak_30429,0.8349057453123772,0.55880364701459,0.5299289024995786,0.46654837539399074,0.9994882292732856,0.996373103110676,0.9971741355524899,0.7496996128343197,0.9994882292732856
3,AT3G03280,pCAMTA2-22C-mock_S1_peak_28452,-1.599882359074102,-0.2770579199959535,0.2732405883513398,0.44326007864329,0.9994437274709626,0.03789328467802946,0.9934804859596814,0.15595656624093276,0.9994437274709626
5,AT5G20230,pCAMTA2-22C-mock_S1_peak_56894,1.4553675365424672,0.2915973973805481,0.2651286028472636,0.4243813858879231,0.9993547238663166,0.9588135819500689,0.9930354679364515,0.8468470473054158,0.9993547238663166
5,AT5G06320,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_40585,1.1740812482028877,0.3580896930112746,0.3049865807935134,0.42042639373926616,0.9993102220639936,0.9815540029371189,0.9947265364247252,0.8115571180632816,0.9993102220639936
5,AT5G51190,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_47859,0.9442210102209799,0.4303665610436736,0.3503447603087798,0.4063611490339865,0.9992657202616706,0.9920119264830226,0.9956165724711851,0.7733300698678296,0.9992657202616706
3,AT3G29010,pCAMTA3-22C-cycloheximide_S6_peak_29895,6.3212654095202065,0.06418094847146115,0.16871558661666522,0.40570480952284615,0.9992212184593476,0.6606515063860087,0.9775488407280495,0.9644208090427663,0.9992212184593476
3,AT3G29000,pCAMTA3-22C-cycloheximide_S6_peak_29895,6.3212654095202065,0.06418094847146115,0.16871558661666522,0.40570480952284615,0.9992212184593476,0.6606515063860087,0.9775488407280495,0.9644208090427663,0.9992212184593476
5,AT5G19240,pCAMTA2-22C-mock_S1_peak_56575,1.0478955872755715,0.3681511370097598,0.2843645172429155,0.3857839519230116,0.9990432112500556,0.9835120822393307,0.9941035111922033,0.792554848471363,0.9990432112500556
3,AT3G57450,pCAMTA3-22C-cycloheximide_S6_peak_33273,2.3801744411175134,0.16048711651098324,0.171670437022408,0.3819873328480908,0.9989542076454097,0.8336745138178097,0.9786613857861244,0.9041208668951093,0.9989542076454097
