Initialization 0
  Iteration 0	 time lapse 0.19128s	 ll change inf
  Iteration 10	 time lapse 0.23319s	 ll change 44.95852
  Iteration 20	 time lapse 0.23289s	 ll change 7.60554
  Iteration 30	 time lapse 0.12056s	 ll change 5.54326
  Iteration 40	 time lapse 0.10619s	 ll change 1.58442
  Iteration 50	 time lapse 0.10579s	 ll change 1.71304
  Iteration 60	 time lapse 0.10573s	 ll change 17.88063
  Iteration 70	 time lapse 0.10652s	 ll change 0.63236
  Iteration 80	 time lapse 0.10648s	 ll change 0.42676
  Iteration 90	 time lapse 0.10644s	 ll change 0.37505
  Iteration 100	 time lapse 0.10642s	 ll change 0.19025
  Iteration 110	 time lapse 0.10639s	 ll change 0.13105
  Iteration 120	 time lapse 0.10674s	 ll change 0.08411
  Iteration 130	 time lapse 0.10637s	 ll change 0.08206
  Iteration 140	 time lapse 0.10647s	 ll change 0.38208
  Iteration 150	 time lapse 0.10642s	 ll change 0.16083
  Iteration 160	 time lapse 0.10648s	 ll change 0.14231
  Iteration 170	 time lapse 0.10680s	 ll change 0.05493
  Iteration 180	 time lapse 0.10654s	 ll change 0.03907
  Iteration 190	 time lapse 0.10644s	 ll change 0.02594
  Iteration 200	 time lapse 0.10640s	 ll change 0.01098
  Iteration 210	 time lapse 0.10637s	 ll change 0.00424
  Iteration 220	 time lapse 0.10675s	 ll change 0.00204
  Iteration 230	 time lapse 0.10651s	 ll change 0.00147
  Iteration 240	 time lapse 0.10655s	 ll change 0.00171
  Iteration 250	 time lapse 0.10647s	 ll change 0.00368
  Iteration 260	 time lapse 0.10676s	 ll change 0.00778
  Iteration 270	 time lapse 0.10653s	 ll change 0.00357
  Iteration 280	 time lapse 0.10646s	 ll change 0.00617
  Iteration 290	 time lapse 0.10639s	 ll change 0.04241
  Iteration 300	 time lapse 0.10639s	 ll change 0.00755
  Iteration 310	 time lapse 0.10675s	 ll change 0.00388
  Iteration 320	 time lapse 0.10643s	 ll change 0.00372
  Iteration 330	 time lapse 0.10647s	 ll change 0.04290
  Iteration 340	 time lapse 0.10649s	 ll change 0.01154
  Iteration 350	 time lapse 0.10638s	 ll change 0.00097
Initialization converged: True	 time lapse 4.18430s	 ll 18521.71015
