feat_acc,type=closest_bed=1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=1469-gELF3-myc-elf3-1xELF4-ox-ZT10-27C_S17_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-11-27C_S15_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-8-1-17C_S12_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-8-1-27C_S13_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=HDAC-22-4DAG_S18_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=HDAC-27-4DAG_S19_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=gELF3myc-17C_S10_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA2-22C-mock_S1_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA3-22C-cycloheximide_S6_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA3-22C-mock_S4_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey
AT1G01010,1.56651,1.88797,1.96369,2.22113,1.85975,,3.18433,2.01701,2.42873,1.83976,2.53523,2.07809,2.03824
AT1G01020,2.54763,2.31705,2.49647,2.25768,2.42899,,3.58237,,1.94687,,1.99695,1.91456,1.83843
AT1G01030,1.9194,1.64999,3.14048,,,,2.69797,,1.86836,,1.97796,1.98831,
AT1G01040,2.62583,,2.31888,3.21986,3.14055,,2.30041,,2.79012,2.75304,2.53523,2.37496,2.05215
AT1G01050,2.7294400000000003,2.40898,3.02925,2.08231,2.28668,,3.58544,2.50844,1.82641,2.05775,2.49187,2.03528,2.40836
AT1G01060,2.00946,1.7654900000000002,2.16964,2.32545,2.42899,,2.39029,2.06221,3.5129,2.52861,2.02699,2.5741,1.90967
AT1G01070,2.47174,1.83796,,1.80467,1.88732,,2.39029,2.20176,1.94687,,2.60663,2.20326,
AT1G01073,2.47174,1.83796,,1.78532,1.88732,,2.39029,2.20176,1.94687,2.49931,2.60663,2.20326,
AT1G01080,2.16355,1.39418,2.85206,2.4976,2.5713,,3.12094,2.42042,2.2723,,2.42791,2.5741,2.12339
AT1G01090,2.06488,1.81187,2.49647,2.22113,2.28668,,2.39029,1.92957,2.3028,1.5028,2.42791,2.39449,2.12339
AT1G01100,2.31765,2.04127,2.28366,2.22113,2.14437,,3.58544,2.21872,2.5491900000000003,1.5028,2.06818,2.12509,1.86423
AT1G01110,2.31765,2.04127,2.28366,2.22113,2.28668,,3.58544,2.21872,2.3028,1.5028,2.42791,1.89612,1.86423
AT1G01115,2.2994,1.59945,1.7861,2.47671,2.42899,,,,2.79012,2.18467,2.01539,2.12509,
AT1G01120,2.21377,,2.84653,2.3335,1.77534,,2.31728,2.32642,3.03083,1.83976,2.28948,1.78266,2.10193
AT1G01130,1.97742,1.91803,2.42552,2.43135,2.32594,,2.74888,2.2216,2.07948,2.11585,2.17635,1.85811,
AT1G01140,2.00946,2.09177,2.06807,2.46588,2.25807,,2.39029,2.31548,3.15151,2.3582,2.2099900000000003,1.96536,1.85557
AT1G01150,2.47174,,2.68889,2.87191,2.85592,,2.46272,,2.66965,1.83976,2.99031,2.5741,1.90967
AT1G01160,2.47174,1.7654900000000002,3.02925,2.87191,2.85592,,2.46272,2.21872,2.66965,2.3582,2.99031,2.22552,2.26587
AT1G01170,2.62583,,2.02345,1.96769,2.02147,,2.39029,1.7366099999999998,1.83308,2.05775,2.3017,1.85986,1.90967
AT1G01180,2.47174,,2.68889,2.8621,2.85592,,2.14381,,2.66965,2.05775,2.3017,2.5741,1.90967
AT1G01190,2.47174,1.7654900000000002,2.49647,3.21986,1.9142,,3.18706,,2.42873,2.14466,1.78443,2.7537,2.40836
AT1G01200,1.49924,,,2.38125,3.21871,,2.15488,,1.7346099999999998,1.47181,2.02699,1.72256,
AT1G01210,2.47174,1.7654900000000002,1.96369,3.21986,3.21871,,2.56923,,2.42873,2.14466,2.02699,2.7537,2.40836
AT1G01220,2.09912,,,2.8333,3.21871,,3.15106,1.98689,1.7346099999999998,1.47181,2.02699,2.03528,
AT1G01225,2.16355,1.4810299999999998,2.31888,3.21986,3.14055,,2.50112,2.62212,2.06733,2.14466,2.51213,2.5741,2.06324
AT1G01230,2.16355,1.67356,2.31888,2.8621,3.14055,,2.50112,2.62212,2.5491900000000003,2.52861,2.63341,2.5741,2.33712
AT1G01240,1.92759,2.40898,2.85166,2.50434,2.99824,,2.18096,2.62212,2.5491900000000003,2.52861,2.63341,2.5741,2.33712
AT1G01250,1.9665,2.43691,1.89941,1.89706,,,1.97768,,2.4357900000000003,,1.89311,2.32903,1.95705
AT1G01260,1.9665,2.43691,1.96369,3.04098,3.14055,,2.14381,,2.4357900000000003,2.23157,2.14828,2.12509,2.26587
AT1G01280,2.16355,1.81187,2.14129,3.04098,3.14055,,1.99191,2.21872,2.38994,2.23157,2.36716,2.12509,2.69332
AT1G01290,2.31765,1.81187,2.31888,2.14657,2.42899,,2.78867,2.21872,2.5491900000000003,2.23157,2.41846,2.3046900000000003,2.69332
AT1G01300,2.58462,1.5240200000000002,2.67407,2.32545,3.14055,,2.78867,2.07378,2.91058,2.40539,2.11269,2.7537,2.4796
AT1G01305,2.69713,2.1781900000000003,2.67407,2.50434,3.14055,,3.18433,2.01701,3.27197,2.41682,3.0857,2.7537,2.9298
AT1G01310,2.69713,2.1781900000000003,3.20685,2.68322,3.14055,,3.18433,1.93347,3.99475,2.41682,3.0857,2.4843,2.9298
AT1G01320,1.85537,,2.16964,2.65362,2.71361,,2.67336,2.62212,3.15151,2.86943,2.63341,2.1532,1.92748
AT1G01340,1.44541,1.82573,,1.7888099999999998,2.42899,,2.14381,2.82382,1.7059400000000002,1.7101099999999998,1.82079,1.72256,
AT1G01350,1.44541,1.82573,2.31888,2.14657,2.42899,,3.18706,2.82382,2.30826,1.97084,2.14828,1.77401,
AT1G01355,1.44541,,2.14129,1.7888099999999998,2.42899,,2.14381,2.82382,2.30826,1.7101099999999998,2.02699,2.03528,1.98091
AT1G01360,2.47174,2.22231,3.02925,2.50434,2.42899,,2.78867,2.31548,2.06222,2.28147,2.26956,1.76588,1.7171299999999998
AT1G01370,1.70127,1.50481,,2.19616,1.5042,,3.16761,1.90034,2.22434,2.28147,2.1164400000000003,,
AT1G01380,2.0127,2.04127,2.49005,2.60502,3.10443,,2.46272,2.40086,2.0310900000000003,2.11042,1.75537,2.18934,2.58719
AT1G01390,1.97792,1.67356,2.31888,3.04098,2.14885,,3.18706,2.42042,2.42873,2.4923,1.66314,2.3046900000000003,2.26587
AT1G01400,,1.85741,2.49647,3.04098,3.14055,,2.39029,2.12252,2.42873,2.44341,2.63341,3.29252,2.33712
AT1G01410,1.97792,,2.31888,2.14657,2.14885,,3.18706,2.42042,2.30826,2.31567,2.02699,2.07809,2.05215
AT1G01420,2.31765,2.1332,2.67407,3.21986,3.42517,,3.18706,2.62212,3.5129,2.14466,2.41846,3.02311,2.40836
AT1G01430,1.70127,2.0018,2.67407,2.8621,2.00206,,3.18706,2.01701,2.42873,2.23157,2.3017,3.02311,1.98091
AT1G01440,2.16355,2.31705,1.96369,3.04098,3.42517,,3.58544,2.42042,2.42873,2.05775,2.3908400000000003,2.03528,1.99402
AT1G01450,1.85537,2.00831,2.49647,2.32545,3.42517,,3.58544,2.42042,2.42873,2.40539,2.02699,2.03528,2.19463
AT1G01453,2.47174,,3.38444,2.2998,3.21871,,2.39029,2.50844,1.94687,1.91432,1.95142,2.8042,3.24003
AT1G01460,2.47174,2.00831,3.38444,2.2998,3.21871,,1.99191,2.21872,2.42873,2.14466,1.95142,2.8042,3.24003
AT1G01470,2.31765,2.00831,2.14129,2.13791,3.13676,,2.50112,1.58951,3.50861,2.09924,3.23579,2.68007,2.30065
AT1G01471,2.31765,2.00831,2.67407,2.32545,3.13676,,2.50112,2.50844,3.50861,2.57921,3.23579,2.68007,2.8246900000000004
AT1G01480,2.31765,2.00831,2.02345,2.13791,3.13676,,2.50112,1.92566,3.50861,2.09924,3.23579,2.68007,2.30065
AT1G01490,2.61402,1.94934,2.14129,2.56903,2.28258,,1.99191,2.42042,2.79012,2.83995,2.64142,2.39449,2.05215
AT1G01500,2.61402,1.94934,2.14129,2.50434,2.28258,,1.99191,2.42042,2.91058,2.83995,2.64142,2.7537,2.05215
AT1G01510,2.47174,,3.38444,2.50434,3.14055,,2.78867,1.92566,2.91058,2.40539,2.3908400000000003,2.7537,1.92479
AT1G01520,2.00946,1.67356,2.49647,3.04098,2.99824,,3.18706,2.62212,2.30826,2.05775,2.14828,2.21489,2.69332
AT1G01530,,1.7654900000000002,,1.52702,2.09958,,2.78629,1.6294,2.5986,2.51918,2.30327,2.31459,1.60123
AT1G01540,,1.7654900000000002,,1.52702,2.09958,,2.78629,2.50844,2.5986,2.51918,2.30327,2.31459,1.60123
AT1G01550,,,2.92234,2.7403,2.28668,,2.39029,2.21872,1.94687,3.01888,2.63566,1.94548,2.69332
AT1G01560,1.6530200000000002,,2.92234,2.8621,2.71361,,2.39029,2.42042,3.3924300000000005,3.5352300000000003,3.23983,2.39449,2.69332
AT1G01570,1.7903,,1.96369,2.50434,2.71361,,3.58544,,3.3924300000000005,3.5352300000000003,3.23983,2.4843,2.40836
AT1G01580,2.62583,1.84237,2.21597,3.00743,2.28668,,2.50112,1.93347,3.63336,4.0567,2.76875,2.21489,2.55084
AT1G01590,2.62583,1.5240200000000002,2.49647,2.2998,2.5713,,2.78867,2.31548,2.42873,1.79702,2.63341,,1.42908
