feat_acc	chrom	start	end	acc	score	strand	FC	neglogPval	neglogQval	summit	feat_chrom	feat_start	feat_end	feat_score	feat_strand	feat_FC	distance
AT1G01010	1	2312	2314	pCAMTA3-22C-mock_S4_peak_4	30	.	2.53523	3.0384700000000002	0.15006	2313	1	759	4260	.	+	CDS	0
AT1G01020	1	10356	10358	pCAMTA3-22C-mock_S4_peak_15	17	.	1.99695	1.7409	0.0	10357	1	8166	11667	.	-	CDS	0
AT1G01030	1	12825	12827	pCAMTA3-22C-mock_S4_peak_17	17	.	1.97796	1.71148	0.0	12826	1	12440	15941	.	-	CDS	0
AT1G01040	1	23928	23930	pCAMTA3-22C-mock_S4_peak_19	30	.	2.53523	3.0384700000000002	0.15006	23929	1	20518	24019	.	+	CDS	0
AT1G01050	1	33732	33734	pCAMTA3-22C-mock_S4_peak_24	29	.	2.49187	2.96022	0.15006	33733	1	32170	35671	.	-	CDS	0
AT1G01060	1	37611	37613	pCAMTA3-22C-mock_S4_peak_27	17	.	2.02699	1.7874299999999999	0.0	37612	1	36561	40062	.	-	CDS	0
AT1G01070	1	42106	42108	pCAMTA3-22C-mock_S4_peak_30	34	.	2.60663	3.47545	0.35356	42107	1	40377	43878	.	-	CDS	0
AT1G01073	1	42106	42108	pCAMTA3-22C-mock_S4_peak_30	34	.	2.60663	3.47545	0.35356	42107	1	41676	45177	.	+	CDS	0
AT1G01080	1	49760	49762	pCAMTA3-22C-mock_S4_peak_37	28	.	2.42791	2.84423	0.15006	49761	1	46289	49790	.	-	CDS	0
AT1G01090	1	49760	49762	pCAMTA3-22C-mock_S4_peak_37	28	.	2.42791	2.84423	0.15006	49761	1	48666	52167	.	-	CDS	0
AT1G01100	1	52164	52166	pCAMTA3-22C-mock_S4_peak_40	20	.	2.06818	2.0897900000000003	0.0	52165	1	50454	53955	.	-	CDS	0
AT1G01110	1	49760	49762	pCAMTA3-22C-mock_S4_peak_37	28	.	2.42791	2.84423	0.15006	49761	1	49238	52739	.	+	CDS	0
AT1G01115	1	54438	54440	pCAMTA3-22C-mock_S4_peak_41	22	.	2.01539	2.26336	0.0	54439	1	53623	57124	.	+	CDS	0
AT1G01120	1	58640	58642	pCAMTA3-22C-mock_S4_peak_47	25	.	2.2894799999999997	2.52521	0.04573	58641	1	58478	61979	.	-	CDS	0
AT1G01130	1	64087	64089	pCAMTA3-22C-mock_S4_peak_51	23	.	2.17635	2.32525	0.0	64088	1	63311	66812	.	-	CDS	0
AT1G01140	1	67708	67710	pCAMTA3-22C-mock_S4_peak_55	26	.	2.2099900000000003	2.6949	0.04573	67709	1	67012	70513	.	-	CDS	0
AT1G01150	1	72104	72106	pCAMTA3-22C-mock_S4_peak_60	46	.	2.99031	4.67596	0.99549	72105	1	71498	74999	.	-	CDS	0
AT1G01160	1	72104	72106	pCAMTA3-22C-mock_S4_peak_60	46	.	2.99031	4.67596	0.99549	72105	1	69582	73083	.	+	CDS	0
AT1G01170	1	75705	75707	pCAMTA3-22C-mock_S4_peak_66	25	.	2.3017	2.54672	0.04573	75706	1	73943	77444	.	-	CDS	0
AT1G01180	1	75705	75707	pCAMTA3-22C-mock_S4_peak_66	25	.	2.3017	2.54672	0.04573	75706	1	72632	76133	.	+	CDS	0
AT1G01190	1	84581	84583	pCAMTA3-22C-mock_S4_peak_74	13	.	1.78443	1.38933	0.0	84582	1	84364	87865	.	-	CDS	0
AT1G01200	1	88982	88984	pCAMTA3-22C-mock_S4_peak_75	17	.	2.02699	1.7874299999999999	0.0	88983	1	87645	91146	.	-	CDS	0
AT1G01210	1	88982	88984	pCAMTA3-22C-mock_S4_peak_75	17	.	2.02699	1.7874299999999999	0.0	88983	1	85976	89477	.	+	CDS	0
AT1G01220	1	88982	88984	pCAMTA3-22C-mock_S4_peak_75	17	.	2.02699	1.7874299999999999	0.0	88983	1	88749	92250	.	+	CDS	0
AT1G01225	1	96189	96191	pCAMTA3-22C-mock_S4_peak_83	32	.	2.51213	3.2145	0.15006	96190	1	93063	96564	.	+	CDS	0
AT1G01230	1	98020	98022	pCAMTA3-22C-mock_S4_peak_85	32	.	2.63341	3.2145	0.15006	98021	1	94619	98120	.	+	CDS	0
AT1G01240	1	98020	98022	pCAMTA3-22C-mock_S4_peak_85	32	.	2.63341	3.2145	0.15006	98021	1	97682	101183	.	+	CDS	0
AT1G01250	1	108230	108232	pCAMTA3-22C-mock_S4_peak_94	15	.	1.8931099999999998	1.57988	0.0	108231	1	104809	108310	.	-	CDS	0
AT1G01260	1	109273	109275	pCAMTA3-22C-mock_S4_peak_95	22	.	2.1482799999999997	2.2263	0.0	109274	1	106594	110095	.	+	CDS	0
AT1G01280	1	111464	111466	pCAMTA3-22C-mock_S4_peak_98	27	.	2.3671599999999997	2.73343	0.07034	111465	1	109289	112790	.	+	CDS	0
AT1G01290	1	112973	112975	pCAMTA3-22C-mock_S4_peak_102	30	.	2.41846	3.0384700000000002	0.15006	112974	1	111298	114799	.	+	CDS	0
AT1G01300	1	117118	117120	pCAMTA3-22C-mock_S4_peak_107	22	.	2.11269	2.26336	0.0	117119	1	114064	117565	.	+	CDS	0
AT1G01305	1	119529	119531	pCAMTA3-22C-mock_S4_peak_111	52	.	3.0857	5.2663	1.3517	119530	1	116428	119929	.	+	CDS	0
AT1G01310	1	119529	119531	pCAMTA3-22C-mock_S4_peak_111	52	.	3.0857	5.2663	1.3517	119530	1	117220	120721	.	+	CDS	0
AT1G01320	1	132223	132225	pCAMTA3-22C-mock_S4_peak_126	32	.	2.63341	3.2145	0.15006	132224	1	129599	133100	.	-	CDS	0
AT1G01340	1	135936	135938	pCAMTA3-22C-mock_S4_peak_132	14	.	1.8207900000000001	1.49719	0.0	135937	1	134716	138217	.	-	CDS	0
AT1G01350	1	134121	134123	pCAMTA3-22C-mock_S4_peak_129	22	.	2.1482799999999997	2.2263	0.0	134122	1	133731	137232	.	+	CDS	0
AT1G01355	1	138713	138715	pCAMTA3-22C-mock_S4_peak_133	17	.	2.02699	1.7874299999999999	0.0	138714	1	135512	139013	.	+	CDS	0
AT1G01360	1	139838	139840	pCAMTA3-22C-mock_S4_peak_136	22	.	2.26956	2.2263	0.0	139839	1	139137	142638	.	+	CDS	0
AT1G01370	1	143337	143339	pCAMTA3-22C-mock_S4_peak_138	21	.	2.1164400000000003	2.17211	0.0	143338	1	140772	144273	.	+	CDS	0
AT1G01380	1	146242	146244	pCAMTA3-22C-mock_S4_peak_139	15	.	1.75537	1.5521399999999999	0.0	146243	1	144266	147767	.	+	CDS	0
AT1G01390	1	150304	150306	pCAMTA3-22C-mock_S4_peak_144	13	.	1.66314	1.38933	0.0	150305	1	149261	152762	.	-	CDS	0
AT1G01400	1	154763	154765	pCAMTA3-22C-mock_S4_peak_147	32	.	2.63341	3.2145	0.15006	154764	1	151649	155150	.	-	CDS	0
AT1G01410	1	153301	153303	pCAMTA3-22C-mock_S4_peak_146	17	.	2.02699	1.7874299999999999	0.0	153302	1	150112	153613	.	+	CDS	0
AT1G01420	1	156838	156840	pCAMTA3-22C-mock_S4_peak_150	30	.	2.41846	3.0384700000000002	0.15006	156839	1	155511	159012	.	-	CDS	0
AT1G01430	1	160106	160108	pCAMTA3-22C-mock_S4_peak_157	25	.	2.3017	2.54672	0.04573	160107	1	158036	161537	.	-	CDS	0
AT1G01440	1	164838	164840	pCAMTA3-22C-mock_S4_peak_163	27	.	2.3908400000000003	2.70289	0.04573	164839	1	161719	165220	.	-	CDS	0
AT1G01450	1	165192	165194	pCAMTA3-22C-mock_S4_peak_164	17	.	2.02699	1.7874299999999999	0.0	165193	1	165017	168518	.	-	CDS	0
AT1G01453	1	169192	169194	pCAMTA3-22C-mock_S4_peak_166	16	.	1.9514200000000002	1.6703299999999999	0.0	169193	1	167298	170799	.	-	CDS	0
AT1G01460	1	169192	169194	pCAMTA3-22C-mock_S4_peak_166	16	.	1.9514200000000002	1.6703299999999999	0.0	169193	1	166114	169615	.	+	CDS	0
AT1G01470	1	173520	173522	pCAMTA3-22C-mock_S4_peak_169	53	.	3.23579	5.31046	1.37035	173521	1	172326	175827	.	-	CDS	0
AT1G01471	1	173520	173522	pCAMTA3-22C-mock_S4_peak_169	53	.	3.23579	5.31046	1.37035	173521	1	170250	173751	.	+	CDS	0
AT1G01480	1	173520	173522	pCAMTA3-22C-mock_S4_peak_169	53	.	3.23579	5.31046	1.37035	173521	1	172861	176362	.	+	CDS	0
AT1G01490	1	182428	182430	pCAMTA3-22C-mock_S4_peak_177	35	.	2.64142	3.54241	0.35356	182429	1	181566	185067	.	-	CDS	0
AT1G01500	1	182428	182430	pCAMTA3-22C-mock_S4_peak_177	35	.	2.64142	3.54241	0.35356	182429	1	182259	185760	.	+	CDS	0
AT1G01510	1	185711	185713	pCAMTA3-22C-mock_S4_peak_181	27	.	2.3908400000000003	2.70289	0.04573	185712	1	184234	187735	.	+	CDS	0
AT1G01520	1	189915	189917	pCAMTA3-22C-mock_S4_peak_187	22	.	2.1482799999999997	2.2263	0.0	189916	1	187595	191096	.	+	CDS	0
AT1G01530	1	194858	194860	pCAMTA3-22C-mock_S4_peak_191	28	.	2.30327	2.88121	0.15006	194859	1	193162	196663	.	-	CDS	0
AT1G01540	1	194858	194860	pCAMTA3-22C-mock_S4_peak_191	28	.	2.30327	2.88121	0.15006	194859	1	192979	196480	.	+	CDS	0
AT1G01550	1	199575	199577	pCAMTA3-22C-mock_S4_peak_197	38	.	2.6356599999999997	3.8218900000000002	0.40517	199576	1	197525	201026	.	+	CDS	0
AT1G01560	1	202309	202311	pCAMTA3-22C-mock_S4_peak_201	49	.	3.23983	4.9368	1.07645	202310	1	199344	202845	.	+	CDS	0
AT1G01570	1	202309	202311	pCAMTA3-22C-mock_S4_peak_201	49	.	3.23983	4.9368	1.07645	202310	1	202175	205676	.	+	CDS	0
AT1G01580	1	207798	207800	pCAMTA3-22C-mock_S4_peak_208	35	.	2.76875	3.5627	0.35356	207799	1	206394	209895	.	+	CDS	0
AT1G01590	1	214257	214259	pCAMTA3-22C-mock_S4_peak_218	32	.	2.63341	3.2145	0.15006	214258	1	211228	214729	.	+	CDS	0
AT1G01600	1	216773	216775	pCAMTA3-22C-mock_S4_peak_221	22	.	2.1482799999999997	2.2263	0.0	216774	1	216199	219700	.	+	CDS	0
AT1G01610	1	225497	225499	pCAMTA3-22C-mock_S4_peak_229	32	.	2.61795	3.2834	0.20590999999999998	225498	1	223755	227256	.	-	CDS	0
AT1G01620	1	229180	229182	pCAMTA3-22C-mock_S4_peak_236	22	.	2.26956	2.2263	0.0	229181	1	226676	230177	.	-	CDS	0
AT1G01630	1	229180	229182	pCAMTA3-22C-mock_S4_peak_236	22	.	2.26956	2.2263	0.0	229181	1	226205	229706	.	+	CDS	0
AT1G01640	1	232308	232310	pCAMTA3-22C-mock_S4_peak_239	21	.	2.1164400000000003	2.17211	0.0	232309	1	231415	234916	.	-	CDS	0
AT1G01650	1	237174	237176	pCAMTA3-22C-mock_S4_peak_244	32	.	2.51213	3.2145	0.15006	237175	1	237147	240648	.	-	CDS	0
AT1G01660	1	244522	244524	pCAMTA3-22C-mock_S4_peak_253	22	.	2.1482799999999997	2.2263	0.0	244523	1	242108	245609	.	-	CDS	0
AT1G01670	1	247907	247909	pCAMTA3-22C-mock_S4_peak_256	20	.	2.18494	2.0897900000000003	0.0	247908	1	244663	248164	.	-	CDS	0
AT1G01680	1	249372	249374	pCAMTA3-22C-mock_S4_peak_257	30	.	2.53523	3.0384700000000002	0.15006	249373	1	247829	251330	.	-	CDS	0
AT1G01690	1	249372	249374	pCAMTA3-22C-mock_S4_peak_257	30	.	2.53523	3.0384700000000002	0.15006	249373	1	246241	249742	.	+	CDS	0
