feat_acc	chrom	start	end	acc	score	strand	FC	neglogPval	neglogQval	summit	feat_chrom	feat_start	feat_end	feat_score	feat_strand	feat_FC	distance
AT1G01010	1	2436	2438	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_2	29	.	2.03824	2.9763599999999997	0.75154	2437	1	759	4260	.	+	CDS	0
AT1G01020	1	8420	8422	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_6	20	.	1.83843	2.00457	0.2394	8421	1	8166	11667	.	-	CDS	0
AT1G01040	1	23402	23404	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_10	23	.	2.05215	2.36835	0.35023000000000004	23403	1	20518	24019	.	+	CDS	0
AT1G01050	1	34805	34807	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_19	36	.	2.40836	3.60794	0.962	34806	1	32170	35671	.	-	CDS	0
AT1G01060	1	37272	37274	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_21	20	.	1.90967	2.00457	0.2394	37273	1	36561	40062	.	-	CDS	0
AT1G01080	1	48689	48691	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_25	27	.	2.12339	2.75765	0.58735	48690	1	46289	49790	.	-	CDS	0
AT1G01090	1	48689	48691	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_25	27	.	2.12339	2.75765	0.58735	48690	1	48666	52167	.	-	CDS	0
AT1G01100	1	51100	51102	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_26	21	.	1.8642299999999998	2.15522	0.35023000000000004	51101	1	50454	53955	.	-	CDS	0
AT1G01110	1	51100	51102	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_26	21	.	1.8642299999999998	2.15522	0.35023000000000004	51101	1	49238	52739	.	+	CDS	0
AT1G01120	1	58545	58547	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_29	29	.	2.10193	2.94326	0.74153	58546	1	58478	61979	.	-	CDS	0
AT1G01140	1	68637	68639	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_32	18	.	1.8555700000000002	1.8924	0.2394	68638	1	67012	70513	.	-	CDS	0
AT1G01150	1	73607	73609	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_39	20	.	1.90967	2.00457	0.2394	73608	1	71498	74999	.	-	CDS	0
AT1G01160	1	71151	71153	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_35	31	.	2.26587	3.17122	0.75154	71152	1	69582	73083	.	+	CDS	0
AT1G01170	1	77223	77225	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_41	20	.	1.90967	2.00457	0.2394	77224	1	73943	77444	.	-	CDS	0
AT1G01180	1	73607	73609	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_39	20	.	1.90967	2.00457	0.2394	73608	1	72632	76133	.	+	CDS	0
AT1G01190	1	86990	86992	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_44	36	.	2.40836	3.60794	0.962	86991	1	84364	87865	.	-	CDS	0
AT1G01210	1	86990	86992	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_44	36	.	2.40836	3.60794	0.962	86991	1	85976	89477	.	+	CDS	0
AT1G01225	1	96138	96140	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_50	26	.	2.06324	2.6186	0.54474	96139	1	93063	96564	.	+	CDS	0
AT1G01230	1	97840	97842	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_52	36	.	2.33712	3.60794	0.962	97841	1	94619	98120	.	+	CDS	0
AT1G01240	1	97840	97842	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_52	36	.	2.33712	3.60794	0.962	97841	1	97682	101183	.	+	CDS	0
AT1G01250	1	108271	108273	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_58	24	.	1.95705	2.4296900000000003	0.39061999999999997	108272	1	104809	108310	.	-	CDS	0
AT1G01260	1	109812	109814	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_59	31	.	2.26587	3.17122	0.75154	109813	1	106594	110095	.	+	CDS	0
AT1G01280	1	112751	112753	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_61	45	.	2.69332	4.54661	1.57194	112752	1	109289	112790	.	+	CDS	0
AT1G01290	1	112751	112753	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_61	45	.	2.69332	4.54661	1.57194	112752	1	111298	114799	.	+	CDS	0
AT1G01300	1	117085	117087	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_63	40	.	2.4796	4.0667300000000015	1.23894	117086	1	114064	117565	.	+	CDS	0
AT1G01305	1	119549	119551	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_64	59	.	2.9298	5.96894	2.73746	119550	1	116428	119929	.	+	CDS	0
AT1G01310	1	119549	119551	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_64	59	.	2.9298	5.96894	2.73746	119550	1	117220	120721	.	+	CDS	0
AT1G01320	1	132190	132192	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_74	26	.	1.9274799999999999	2.61504	0.54474	132191	1	129599	133100	.	-	CDS	0
AT1G01355	1	138504	138506	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_76	23	.	1.98091	2.36835	0.35023000000000004	138505	1	135512	139013	.	+	CDS	0
AT1G01360	1	139499	139501	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_78	15	.	1.7171299999999998	1.56864	0.16505	139500	1	139137	142638	.	+	CDS	0
AT1G01380	1	144818	144820	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_79	44	.	2.58719	4.45571	1.57194	144819	1	144266	147767	.	+	CDS	0
AT1G01390	1	149673	149675	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_82	31	.	2.26587	3.17122	0.75154	149674	1	149261	152762	.	-	CDS	0
AT1G01400	1	154863	154865	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_86	36	.	2.33712	3.60794	0.962	154864	1	151649	155150	.	-	CDS	0
AT1G01410	1	151363	151365	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_83	23	.	2.05215	2.36835	0.35023000000000004	151364	1	150112	153613	.	+	CDS	0
AT1G01420	1	156490	156492	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_87	36	.	2.40836	3.60794	0.962	156491	1	155511	159012	.	-	CDS	0
AT1G01430	1	160098	160100	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_90	23	.	1.98091	2.36835	0.35023000000000004	160099	1	158036	161537	.	-	CDS	0
AT1G01440	1	161867	161869	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_91	22	.	1.9940200000000001	2.24282	0.35023000000000004	161868	1	161719	165220	.	-	CDS	0
AT1G01450	1	167451	167453	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_96	31	.	2.19463	3.17122	0.75154	167452	1	165017	168518	.	-	CDS	0
AT1G01453	1	169211	169213	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_97	69	.	3.24003	6.96909	3.5531699999999997	169212	1	167298	170799	.	-	CDS	0
AT1G01460	1	169211	169213	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_97	69	.	3.24003	6.96909	3.5531699999999997	169212	1	166114	169615	.	+	CDS	0
AT1G01470	1	173390	173392	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_100	36	.	2.30065	3.6048199999999997	0.962	173391	1	172326	175827	.	-	CDS	0
AT1G01471	1	171099	171101	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_99	53	.	2.8246900000000004	5.34426	2.23707	171100	1	170250	173751	.	+	CDS	0
AT1G01480	1	173390	173392	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_100	36	.	2.30065	3.6048199999999997	0.962	173391	1	172861	176362	.	+	CDS	0
AT1G01490	1	183450	183452	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_106	23	.	2.05215	2.36835	0.35023000000000004	183451	1	181566	185067	.	-	CDS	0
AT1G01500	1	183450	183452	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_106	23	.	2.05215	2.36835	0.35023000000000004	183451	1	182259	185760	.	+	CDS	0
AT1G01510	1	185209	185211	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_107	22	.	1.9247900000000002	2.24282	0.35023000000000004	185210	1	184234	187735	.	+	CDS	0
AT1G01520	1	190415	190417	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_113	45	.	2.69332	4.54661	1.57194	190416	1	187595	191096	.	+	CDS	0
AT1G01530	1	195585	195587	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_117	15	.	1.60123	1.56797	0.16505	195586	1	193162	196663	.	-	CDS	0
AT1G01540	1	195585	195587	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_117	15	.	1.60123	1.56797	0.16505	195586	1	192979	196480	.	+	CDS	0
AT1G01550	1	200743	200745	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_121	45	.	2.69332	4.54661	1.57194	200744	1	197525	201026	.	+	CDS	0
AT1G01560	1	200743	200745	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_121	45	.	2.69332	4.54661	1.57194	200744	1	199344	202845	.	+	CDS	0
AT1G01570	1	202322	202324	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_123	36	.	2.40836	3.60794	0.962	202323	1	202175	205676	.	+	CDS	0
AT1G01580	1	207079	207081	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_129	40	.	2.55084	4.0667300000000015	1.23894	207080	1	206394	209895	.	+	CDS	0
AT1G01590	1	214334	214336	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_133	11	.	1.42908	1.13165	0.10469	214335	1	211228	214729	.	+	CDS	0
AT1G01600	1	216404	216406	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_134	22	.	1.9247900000000002	2.24282	0.35023000000000004	216405	1	216199	219700	.	+	CDS	0
AT1G01610	1	225737	225739	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_138	31	.	2.00398	3.15512	0.75154	225738	1	223755	227256	.	-	CDS	0
AT1G01620	1	227184	227186	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_139	15	.	1.7171299999999998	1.56864	0.16505	227185	1	226676	230177	.	-	CDS	0
AT1G01630	1	227184	227186	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_139	15	.	1.7171299999999998	1.56864	0.16505	227185	1	226205	229706	.	+	CDS	0
AT1G01650	1	240539	240541	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_143	27	.	2.12339	2.75765	0.58735	240540	1	237147	240648	.	-	CDS	0
AT1G01660	1	242135	242137	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_145	26	.	2.06324	2.6186	0.54474	242136	1	242108	245609	.	-	CDS	0
AT1G01670	1	246449	246451	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_149	16	.	1.76719	1.6676099999999998	0.16505	246450	1	244663	248164	.	-	CDS	0
AT1G01680	1	248290	248292	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_150	38	.	2.47858	3.88655	1.19365	248291	1	247829	251330	.	-	CDS	0
AT1G01690	1	248290	248292	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_150	38	.	2.47858	3.88655	1.19365	248291	1	246241	249742	.	+	CDS	0
AT1G01695	1	251212	251214	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_152	13	.	1.62471	1.35887	0.11167	251213	1	249946	253447	.	+	CDS	0
AT1G01710	1	260205	260207	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_154	35	.	2.32711	3.5828599999999997	0.962	260206	1	259949	263450	.	+	CDS	0
AT1G01720	1	268340	268342	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_155	20	.	1.90967	2.00457	0.2394	268341	1	265470	268971	.	+	CDS	0
AT1G01725	1	272684	272686	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_162	27	.	2.12339	2.75765	0.58735	272685	1	270235	273736	.	-	CDS	0
AT1G01730	1	269624	269626	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_157	29	.	2.09579	2.92808	0.72728	269625	1	268001	271502	.	+	CDS	0
