feat_acc	chrom	start	end	acc	score	strand	FC	neglogPval	neglogQval	summit	feat_chrom	feat_start	feat_end	feat_score	feat_strand	feat_FC	distance
AT1G01010	1	2629	2631	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_2	26	.	2.07809	2.6186	0.56229	2630	1	759	4260	.	+	CDS	0
AT1G01020	1	10351	10353	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_7	21	.	1.9145599999999998	2.16813	0.44073	10352	1	8166	11667	.	-	CDS	0
AT1G01030	1	12784	12786	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_9	21	.	1.9883099999999998	2.13904	0.44073	12785	1	12440	15941	.	-	CDS	0
AT1G01040	1	23369	23371	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_12	32	.	2.3749599999999997	3.2932	1.0070700000000001	23370	1	20518	24019	.	+	CDS	0
AT1G01050	1	34971	34973	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_24	22	.	2.0352799999999998	2.23243	0.44073	34972	1	32170	35671	.	-	CDS	0
AT1G01060	1	37024	37026	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_27	40	.	2.5741	4.02297	1.2867	37025	1	36561	40062	.	-	CDS	0
AT1G01070	1	42087	42089	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_30	28	.	2.2032599999999998	2.85376	0.74198	42088	1	40377	43878	.	-	CDS	0
AT1G01073	1	42087	42089	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_30	28	.	2.2032599999999998	2.85376	0.74198	42088	1	41676	45177	.	+	CDS	0
AT1G01080	1	47375	47377	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_35	40	.	2.5741	4.02297	1.2867	47376	1	46289	49790	.	-	CDS	0
AT1G01090	1	48741	48743	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_38	35	.	2.3944900000000002	3.53681	1.03957	48742	1	48666	52167	.	-	CDS	0
AT1G01100	1	53848	53850	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_44	26	.	2.12509	2.64014	0.56229	53849	1	50454	53955	.	-	CDS	0
