chrom	start	end	acc	score	strand	FC	feat_chrom	feat_start	feat_end	feat_acc	feat_score	feat_strand	feat_FC	distance
1	23384	23386	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_12	29.5	.	23385	1	22518	24019	AT1G01040	.	+	CDS	0
1	24014	24016	pCAMTA3-22C-mock_S4_peak_19	35.0	.	24015	1	22518	24019	AT1G01040	.	+	CDS	0
1	33441	33443	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_17	29.0	.	33442	1	32170	33671	AT1G01050	.	-	CDS	0
1	37052	37054	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_27	26.5	.	37053	1	36561	38062	AT1G01060	.	-	CDS	0
1	48770	48772	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_25	27.0	.	48771	1	48666	50167	AT1G01090	.	-	CDS	0
1	56702	56704	pCAMTA2-22C-mock_S1_peak_41	29.0	.	56703	1	55623	57124	AT1G01115	.	+	CDS	0
1	59784	59786	pCAMTA2-22C-mock_S1_peak_47	28.0	.	59785	1	58478	59979	AT1G01120	.	-	CDS	0
1	67743	67745	pCAMTA2-22C-mock_S1_peak_52	44.0	.	67744	1	67012	68513	AT1G01140	.	-	CDS	0
1	95523	95525	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_49	25.5	.	95524	1	95063	96564	AT1G01225	.	+	CDS	0
1	97863	97865	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_52	37.0	.	97864	1	96619	98120	AT1G01230	.	+	CDS	0
1	111483	111485	pCAMTA3-22C-mock_S4_peak_98	27.0	.	111484	1	111289	112790	AT1G01280	.	+	CDS	0
1	112080	112082	pCAMTA3-22C-cycloheximide_S6_peak_61	25.5	.	112081	1	111289	112790	AT1G01280	.	+	CDS	0
1	117408	117410	pCAMTA3-22C-mock_S4_peak_107	25.5	.	117409	1	116064	117565	AT1G01300	.	+	CDS	0
1	118666	118668	pCAMTA3-22C-mock_S4_peak_110	32.0	.	118667	1	118428	119929	AT1G01305	.	+	CDS	0
1	119013	119015	pCAMTA2-22C-mock_S1_peak_107	47.0	.	119014	1	118428	119929	AT1G01305	.	+	CDS	0
1	119594	119596	pCAMTA2-22C-mock_S1_peak_108	35.0	.	119595	1	118428	119929	AT1G01305	.	+	CDS	0
1	119594	119596	pCAMTA2-22C-mock_S1_peak_108	35.0	.	119595	1	119220	120721	AT1G01310	.	+	CDS	0
1	130651	130653	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_104	29.0	.	130652	1	129599	131100	AT1G01320	.	-	CDS	0
1	138498	138500	pCAMTA2-22C-mock_S1_peak_126	27.0	.	138499	1	137512	139013	AT1G01355	.	+	CDS	0
1	141392	141394	pCAMTA2-22C-mock_S1_peak_129	26.0	.	141393	1	141137	142638	AT1G01360	.	+	CDS	0
1	142282	142284	pCAMTA3-22C-cycloheximide_S6_peak_92	28.0	.	142283	1	141137	142638	AT1G01360	.	+	CDS	0
1	143360	143362	pCAMTA2-22C-mock_S1_peak_131	26.0	.	143361	1	142772	144273	AT1G01370	.	+	CDS	0
1	149866	149868	pCAMTA2-22C-mock_S1_peak_137	30.5	.	149867	1	149261	150762	AT1G01390	.	-	CDS	0
1	152746	152748	pCAMTA2-22C-mock_S1_peak_138	28.0	.	152747	1	151649	153150	AT1G01400	.	-	CDS	0
1	152746	152748	pCAMTA2-22C-mock_S1_peak_138	28.0	.	152747	1	152112	153613	AT1G01410	.	+	CDS	0
1	155551	155553	pCAMTA2-22C-mock_S1_peak_143	31.0	.	155552	1	155511	157012	AT1G01420	.	-	CDS	0
1	156614	156616	pCAMTA2-22C-mock_S1_peak_144	30.0	.	156615	1	155511	157012	AT1G01420	.	-	CDS	0
1	173493	173495	pCAMTA2-22C-mock_S1_peak_164	46.0	.	173494	1	172250	173751	AT1G01471	.	+	CDS	0
1	173493	173495	pCAMTA2-22C-mock_S1_peak_164	46.0	.	173494	1	172326	173827	AT1G01470	.	-	CDS	0
1	182447	182449	pCAMTA2-22C-mock_S1_peak_173	35.0	.	182448	1	181566	183067	AT1G01490	.	-	CDS	0
1	184912	184914	pCAMTA2-22C-mock_S1_peak_175	38.0	.	184913	1	184259	185760	AT1G01500	.	+	CDS	0
1	199532	199534	pCAMTA3-22C-cycloheximide_S6_peak_142	38.0	.	199533	1	199525	201026	AT1G01550	.	+	CDS	0
