feat_acc	chrom	start	end	acc	score	strand	FC	neglogPval	neglogQval	summit	feat_chrom	feat_start	feat_end	feat_score	feat_strand	feat_FC	distance
AT1G01010	1	3991	3993	gELF3myc-17C_S10_peak_1	21	.	2.01701	2.11983	0.32653000000000004	3992	1	759	4260	.	+	CDS	0
AT1G01050	1	35054	35056	gELF3myc-17C_S10_peak_11	33	.	2.5084400000000002	3.3825800000000004	1.00251	35055	1	32170	35671	.	-	CDS	0
AT1G01060	1	36716	36718	gELF3myc-17C_S10_peak_12	26	.	2.06221	2.6710599999999998	0.58402	36717	1	36561	40062	.	-	CDS	0
AT1G01070	1	42186	42188	gELF3myc-17C_S10_peak_15	26	.	2.2017599999999997	2.6577	0.57231	42187	1	40377	43878	.	-	CDS	0
AT1G01073	1	42186	42188	gELF3myc-17C_S10_peak_15	26	.	2.2017599999999997	2.6577	0.57231	42187	1	41676	45177	.	+	CDS	0
AT1G01080	1	47310	47312	gELF3myc-17C_S10_peak_16	30	.	2.42042	3.07728	0.7430399999999999	47311	1	46289	49790	.	-	CDS	0
AT1G01090	1	51371	51373	gELF3myc-17C_S10_peak_18	19	.	1.92957	1.9651299999999998	0.32653000000000004	51372	1	48666	52167	.	-	CDS	0
AT1G01100	1	52364	52366	gELF3myc-17C_S10_peak_19	25	.	2.2187200000000002	2.58112	0.50749	52365	1	50454	53955	.	-	CDS	0
AT1G01110	1	52364	52366	gELF3myc-17C_S10_peak_19	25	.	2.2187200000000002	2.58112	0.50749	52365	1	49238	52739	.	+	CDS	0
AT1G01120	1	58553	58555	gELF3myc-17C_S10_peak_20	28	.	2.32642	2.89797	0.7430399999999999	58554	1	58478	61979	.	-	CDS	0
AT1G01130	1	63378	63380	gELF3myc-17C_S10_peak_23	26	.	2.2216	2.69613	0.60775	63379	1	63311	66812	.	-	CDS	0
AT1G01140	1	69011	69013	gELF3myc-17C_S10_peak_26	28	.	2.31548	2.877	0.7430399999999999	69012	1	67012	70513	.	-	CDS	0
