feat_acc	chrom	start	end	acc	score	strand	FC	neglogPval	neglogQval	summit	feat_chrom	feat_start	feat_end	feat_score	feat_strand	feat_FC	distance
AT1G01010	1	2821	2823	4195-11-27C_S15_peak_3	18	.	1.9636900000000002	1.87295	0.22046	2822	1	759	4260	.	+	CDS	0
AT1G01020	1	8265	8267	4195-11-27C_S15_peak_9	32	.	2.49647	3.24864	0.82791	8266	1	8166	11667	.	-	CDS	0
AT1G01030	1	12882	12884	4195-11-27C_S15_peak_13	53	.	3.1404799999999997	5.35511	2.32282	12883	1	12440	15941	.	-	CDS	0
AT1G01040	1	23706	23708	4195-11-27C_S15_peak_16	27	.	2.31888	2.75711	0.58448	23707	1	20518	24019	.	+	CDS	0
AT1G01050	1	34025	34027	4195-11-27C_S15_peak_27	48	.	3.02925	4.89723	1.9122	34026	1	32170	35671	.	-	CDS	0
AT1G01060	1	36754	36756	4195-11-27C_S15_peak_33	28	.	2.1696400000000002	2.85376	0.66784	36755	1	36561	40062	.	-	CDS	0
AT1G01080	1	46745	46747	4195-11-27C_S15_peak_37	49	.	2.85206	4.91073	1.92461	46746	1	46289	49790	.	-	CDS	0
AT1G01090	1	48939	48941	4195-11-27C_S15_peak_41	32	.	2.49647	3.24864	0.82791	48940	1	48666	52167	.	-	CDS	0
AT1G01100	1	51364	51366	4195-11-27C_S15_peak_44	26	.	2.28366	2.69097	0.58448	51365	1	50454	53955	.	-	CDS	0
AT1G01110	1	51364	51366	4195-11-27C_S15_peak_44	26	.	2.28366	2.69097	0.58448	51365	1	49238	52739	.	+	CDS	0
AT1G01115	1	55508	55510	4195-11-27C_S15_peak_46	14	.	1.7861	1.4851	0.09399	55509	1	53623	57124	.	+	CDS	0
AT1G01120	1	59061	59063	4195-11-27C_S15_peak_49	47	.	2.84653	4.70182	1.82185	59062	1	58478	61979	.	-	CDS	0
AT1G01130	1	65241	65243	4195-11-27C_S15_peak_52	32	.	2.42552	3.26369	0.8427100000000001	65242	1	63311	66812	.	-	CDS	0
AT1G01140	1	67151	67153	4195-11-27C_S15_peak_54	21	.	2.06807	2.16621	0.38448000000000004	67152	1	67012	70513	.	-	CDS	0
AT1G01150	1	72832	72834	4195-11-27C_S15_peak_59	41	.	2.6888900000000002	4.1611	1.46126	72833	1	71498	74999	.	-	CDS	0
AT1G01160	1	71128	71130	4195-11-27C_S15_peak_57	48	.	3.02925	4.89723	1.9122	71129	1	69582	73083	.	+	CDS	0
AT1G01170	1	74680	74682	4195-11-27C_S15_peak_62	20	.	2.02345	2.08573	0.38448000000000004	74681	1	73943	77444	.	-	CDS	0
AT1G01180	1	72832	72834	4195-11-27C_S15_peak_59	41	.	2.6888900000000002	4.1611	1.46126	72833	1	72632	76133	.	+	CDS	0
AT1G01190	1	84701	84703	4195-11-27C_S15_peak_70	32	.	2.49647	3.24864	0.82791	84702	1	84364	87865	.	-	CDS	0
AT1G01210	1	87032	87034	4195-11-27C_S15_peak_72	18	.	1.9636900000000002	1.87295	0.22046	87033	1	85976	89477	.	+	CDS	0
AT1G01225	1	95380	95382	4195-11-27C_S15_peak_78	27	.	2.31888	2.75711	0.58448	95381	1	93063	96564	.	+	CDS	0
