feat_acc	chrom	start	end	acc	score	strand	FC	neglogPval	neglogQval	summit	feat_chrom	feat_start	feat_end	feat_score	feat_strand	feat_FC	distance
AT1G01010	1	3742	3744	4195-8-1-27C_S13_peak_3	19	.	1.85975	1.91557	0.49312	3743	1	759	4260	.	+	CDS	0
AT1G01020	1	11269	11271	4195-8-1-27C_S13_peak_11	31	.	2.42899	3.16198	0.98974	11270	1	8166	11667	.	-	CDS	0
AT1G01040	1	23892	23894	4195-8-1-27C_S13_peak_16	57	.	3.14055	5.7472900000000005	2.86038	23893	1	20518	24019	.	+	CDS	0
AT1G01050	1	33997	33999	4195-8-1-27C_S13_peak_23	31	.	2.28668	3.16198	0.98974	33998	1	32170	35671	.	-	CDS	0
AT1G01060	1	38048	38050	4195-8-1-27C_S13_peak_28	31	.	2.42899	3.16198	0.98974	38049	1	36561	40062	.	-	CDS	0
AT1G01070	1	42249	42251	4195-8-1-27C_S13_peak_31	20	.	1.88732	2.06639	0.6092	42250	1	40377	43878	.	-	CDS	0
AT1G01073	1	42249	42251	4195-8-1-27C_S13_peak_31	20	.	1.88732	2.06639	0.6092	42250	1	41676	45177	.	+	CDS	0
AT1G01080	1	47300	47302	4195-8-1-27C_S13_peak_36	36	.	2.5713	3.6318099999999998	1.27844	47301	1	46289	49790	.	-	CDS	0
AT1G01090	1	50180	50182	4195-8-1-27C_S13_peak_38	31	.	2.28668	3.16198	0.98974	50181	1	48666	52167	.	-	CDS	0
AT1G01100	1	52151	52153	4195-8-1-27C_S13_peak_39	27	.	2.14437	2.7183200000000003	0.89936	52152	1	50454	53955	.	-	CDS	0
AT1G01110	1	50180	50182	4195-8-1-27C_S13_peak_38	31	.	2.28668	3.16198	0.98974	50181	1	49238	52739	.	+	CDS	0
AT1G01115	1	55476	55478	4195-8-1-27C_S13_peak_41	31	.	2.42899	3.16198	0.98974	55477	1	53623	57124	.	+	CDS	0
AT1G01120	1	59969	59971	4195-8-1-27C_S13_peak_43	17	.	1.7753400000000001	1.7630299999999999	0.48086999999999996	59970	1	58478	61979	.	-	CDS	0
AT1G01130	1	65260	65262	4195-8-1-27C_S13_peak_47	30	.	2.32594	3.09324	0.98974	65261	1	63311	66812	.	-	CDS	0
AT1G01140	1	69635	69637	4195-8-1-27C_S13_peak_51	28	.	2.25807	2.80176	0.9691700000000001	69636	1	67012	70513	.	-	CDS	0
AT1G01150	1	72948	72950	4195-8-1-27C_S13_peak_55	46	.	2.8559200000000002	4.64464	1.98364	72949	1	71498	74999	.	-	CDS	0
AT1G01160	1	72948	72950	4195-8-1-27C_S13_peak_55	46	.	2.8559200000000002	4.64464	1.98364	72949	1	69582	73083	.	+	CDS	0
AT1G01170	1	74309	74311	4195-8-1-27C_S13_peak_58	24	.	2.02147	2.45401	0.7948	74310	1	73943	77444	.	-	CDS	0
AT1G01180	1	72948	72950	4195-8-1-27C_S13_peak_55	46	.	2.8559200000000002	4.64464	1.98364	72949	1	72632	76133	.	+	CDS	0
AT1G01190	1	86930	86932	4195-8-1-27C_S13_peak_65	21	.	1.9142	2.1217799999999998	0.6566	86931	1	84364	87865	.	-	CDS	0
AT1G01200	1	88948	88950	4195-8-1-27C_S13_peak_66	64	.	3.2187099999999997	6.40804	3.42447	88949	1	87645	91146	.	-	CDS	0
AT1G01210	1	88948	88950	4195-8-1-27C_S13_peak_66	64	.	3.2187099999999997	6.40804	3.42447	88949	1	85976	89477	.	+	CDS	0
AT1G01220	1	88948	88950	4195-8-1-27C_S13_peak_66	64	.	3.2187099999999997	6.40804	3.42447	88949	1	88749	92250	.	+	CDS	0
AT1G01225	1	94873	94875	4195-8-1-27C_S13_peak_72	57	.	3.14055	5.7472900000000005	2.86038	94874	1	93063	96564	.	+	CDS	0
AT1G01230	1	94873	94875	4195-8-1-27C_S13_peak_72	57	.	3.14055	5.7472900000000005	2.86038	94874	1	94619	98120	.	+	CDS	0
AT1G01240	1	97869	97871	4195-8-1-27C_S13_peak_77	51	.	2.99824	5.1852800000000006	2.40176	97870	1	97682	101183	.	+	CDS	0
AT1G01260	1	109946	109948	4195-8-1-27C_S13_peak_83	57	.	3.14055	5.7472900000000005	2.86038	109947	1	106594	110095	.	+	CDS	0
AT1G01280	1	109946	109948	4195-8-1-27C_S13_peak_83	57	.	3.14055	5.7472900000000005	2.86038	109947	1	109289	112790	.	+	CDS	0
AT1G01290	1	112143	112145	4195-8-1-27C_S13_peak_85	31	.	2.42899	3.16198	0.98974	112144	1	111298	114799	.	+	CDS	0
AT1G01300	1	117213	117215	4195-8-1-27C_S13_peak_88	57	.	3.14055	5.7472900000000005	2.86038	117214	1	114064	117565	.	+	CDS	0
AT1G01305	1	117213	117215	4195-8-1-27C_S13_peak_88	57	.	3.14055	5.7472900000000005	2.86038	117214	1	116428	119929	.	+	CDS	0
AT1G01310	1	120236	120238	4195-8-1-27C_S13_peak_91	57	.	3.14055	5.7472900000000005	2.86038	120237	1	117220	120721	.	+	CDS	0
AT1G01320	1	133009	133011	4195-8-1-27C_S13_peak_104	41	.	2.7136099999999996	4.1264400000000006	1.61071	133010	1	129599	133100	.	-	CDS	0
AT1G01340	1	136351	136353	4195-8-1-27C_S13_peak_111	31	.	2.42899	3.16198	0.98974	136352	1	134716	138217	.	-	CDS	0
AT1G01350	1	136351	136353	4195-8-1-27C_S13_peak_111	31	.	2.42899	3.16198	0.98974	136352	1	133731	137232	.	+	CDS	0
AT1G01355	1	136351	136353	4195-8-1-27C_S13_peak_111	31	.	2.42899	3.16198	0.98974	136352	1	135512	139013	.	+	CDS	0
AT1G01360	1	139350	139352	4195-8-1-27C_S13_peak_113	31	.	2.42899	3.16198	0.98974	139351	1	139137	142638	.	+	CDS	0
AT1G01370	1	141404	141406	4195-8-1-27C_S13_peak_116	13	.	1.5042	1.3823	0.2872	141405	1	140772	144273	.	+	CDS	0
AT1G01380	1	144785	144787	4195-8-1-27C_S13_peak_117	56	.	3.10443	5.6601	2.83337	144786	1	144266	147767	.	+	CDS	0
AT1G01390	1	151285	151287	4195-8-1-27C_S13_peak_120	28	.	2.14885	2.85376	0.9797600000000001	151286	1	149261	152762	.	-	CDS	0
AT1G01400	1	154874	154876	4195-8-1-27C_S13_peak_123	57	.	3.14055	5.7472900000000005	2.86038	154875	1	151649	155150	.	-	CDS	0
AT1G01410	1	151285	151287	4195-8-1-27C_S13_peak_120	28	.	2.14885	2.85376	0.9797600000000001	151286	1	150112	153613	.	+	CDS	0
AT1G01420	1	157169	157171	4195-8-1-27C_S13_peak_126	69	.	3.4251699999999996	6.9317600000000015	3.8891400000000003	157170	1	155511	159012	.	-	CDS	0
AT1G01430	1	158411	158413	4195-8-1-27C_S13_peak_128	23	.	2.0020599999999997	2.30231	0.6816300000000001	158412	1	158036	161537	.	-	CDS	0
AT1G01440	1	165172	165174	4195-8-1-27C_S13_peak_133	69	.	3.4251699999999996	6.9317600000000015	3.8891400000000003	165173	1	161719	165220	.	-	CDS	0
AT1G01450	1	165172	165174	4195-8-1-27C_S13_peak_133	69	.	3.4251699999999996	6.9317600000000015	3.8891400000000003	165173	1	165017	168518	.	-	CDS	0
AT1G01453	1	169156	169158	4195-8-1-27C_S13_peak_136	64	.	3.2187099999999997	6.40804	3.42447	169157	1	167298	170799	.	-	CDS	0
AT1G01460	1	169156	169158	4195-8-1-27C_S13_peak_136	64	.	3.2187099999999997	6.40804	3.42447	169157	1	166114	169615	.	+	CDS	0
AT1G01470	1	173613	173615	4195-8-1-27C_S13_peak_140	57	.	3.1367599999999998	5.73819	2.86038	173614	1	172326	175827	.	-	CDS	0
AT1G01471	1	173613	173615	4195-8-1-27C_S13_peak_140	57	.	3.1367599999999998	5.73819	2.86038	173614	1	170250	173751	.	+	CDS	0
AT1G01480	1	173613	173615	4195-8-1-27C_S13_peak_140	57	.	3.1367599999999998	5.73819	2.86038	173614	1	172861	176362	.	+	CDS	0
AT1G01490	1	182553	182555	4195-8-1-27C_S13_peak_146	28	.	2.28258	2.85376	0.9797600000000001	182554	1	181566	185067	.	-	CDS	0
AT1G01500	1	182553	182555	4195-8-1-27C_S13_peak_146	28	.	2.28258	2.85376	0.9797600000000001	182554	1	182259	185760	.	+	CDS	0
AT1G01510	1	186543	186545	4195-8-1-27C_S13_peak_150	57	.	3.14055	5.7472900000000005	2.86038	186544	1	184234	187735	.	+	CDS	0
AT1G01520	1	189647	189649	4195-8-1-27C_S13_peak_155	51	.	2.99824	5.1852800000000006	2.40176	189648	1	187595	191096	.	+	CDS	0
AT1G01530	1	194852	194854	4195-8-1-27C_S13_peak_160	25	.	2.09958	2.5853599999999997	0.89936	194853	1	193162	196663	.	-	CDS	0
AT1G01540	1	194852	194854	4195-8-1-27C_S13_peak_160	25	.	2.09958	2.5853599999999997	0.89936	194853	1	192979	196480	.	+	CDS	0
AT1G01550	1	198012	198014	4195-8-1-27C_S13_peak_163	31	.	2.28668	3.16198	0.98974	198013	1	197525	201026	.	+	CDS	0
AT1G01560	1	202315	202317	4195-8-1-27C_S13_peak_168	41	.	2.7136099999999996	4.1264400000000006	1.61071	202316	1	199344	202845	.	+	CDS	0
AT1G01570	1	202315	202317	4195-8-1-27C_S13_peak_168	41	.	2.7136099999999996	4.1264400000000006	1.61071	202316	1	202175	205676	.	+	CDS	0
AT1G01580	1	207088	207090	4195-8-1-27C_S13_peak_175	31	.	2.28668	3.16198	0.98974	207089	1	206394	209895	.	+	CDS	0
AT1G01590	1	214246	214248	4195-8-1-27C_S13_peak_180	36	.	2.5713	3.6318099999999998	1.27844	214247	1	211228	214729	.	+	CDS	0
AT1G01600	1	216463	216465	4195-8-1-27C_S13_peak_182	19	.	1.85975	1.91557	0.49312	216464	1	216199	219700	.	+	CDS	0
AT1G01610	1	225786	225788	4195-8-1-27C_S13_peak_187	40	.	2.3994299999999997	4.027019999999999	1.61071	225787	1	223755	227256	.	-	CDS	0
AT1G01620	1	227251	227253	4195-8-1-27C_S13_peak_188	31	.	2.28668	3.16198	0.98974	227252	1	226676	230177	.	-	CDS	0
AT1G01630	1	227251	227253	4195-8-1-27C_S13_peak_188	31	.	2.28668	3.16198	0.98974	227252	1	226205	229706	.	+	CDS	0
AT1G01640	1	232951	232953	4195-8-1-27C_S13_peak_192	26	.	2.11428	2.6186	0.89936	232952	1	231415	234916	.	-	CDS	0
AT1G01650	1	237436	237438	4195-8-1-27C_S13_peak_198	51	.	2.99824	5.1852800000000006	2.40176	237437	1	237147	240648	.	-	CDS	0
AT1G01660	1	244509	244511	4195-8-1-27C_S13_peak_203	27	.	2.14437	2.7183200000000003	0.89936	244510	1	242108	245609	.	-	CDS	0
