feat_acc	chrom	start	end	acc	score	strand	FC	neglogPval	neglogQval	summit	feat_chrom	feat_start	feat_end	feat_score	feat_strand	feat_FC	distance
AT1G01010	1	2391	2393	pCAMTA3-22C-cycloheximide_S6_peak_3	18	.	1.8397599999999998	1.8924	0.26218	2392	1	759	4260	.	+	CDS	0
AT1G01040	1	23981	23983	pCAMTA3-22C-cycloheximide_S6_peak_10	43	.	2.75304	4.370430000000002	1.5165	23982	1	20518	24019	.	+	CDS	0
AT1G01050	1	35336	35338	pCAMTA3-22C-cycloheximide_S6_peak_15	25	.	2.05775	2.52732	0.48353	35337	1	32170	35671	.	-	CDS	0
AT1G01060	1	37946	37948	pCAMTA3-22C-cycloheximide_S6_peak_18	37	.	2.52861	3.7572699999999997	1.20957	37947	1	36561	40062	.	-	CDS	0
AT1G01073	1	45154	45156	pCAMTA3-22C-cycloheximide_S6_peak_19	40	.	2.49931	4.04671	1.3581299999999998	45155	1	41676	45177	.	+	CDS	0
AT1G01090	1	51494	51496	pCAMTA3-22C-cycloheximide_S6_peak_20	11	.	1.5028	1.1952	0.09881000000000001	51495	1	48666	52167	.	-	CDS	0
AT1G01100	1	51494	51496	pCAMTA3-22C-cycloheximide_S6_peak_20	11	.	1.5028	1.1952	0.09881000000000001	51495	1	50454	53955	.	-	CDS	0
AT1G01110	1	51494	51496	pCAMTA3-22C-cycloheximide_S6_peak_20	11	.	1.5028	1.1952	0.09881000000000001	51495	1	49238	52739	.	+	CDS	0
AT1G01115	1	56702	56704	pCAMTA3-22C-cycloheximide_S6_peak_21	26	.	2.18467	2.66512	0.59754	56703	1	53623	57124	.	+	CDS	0
AT1G01120	1	59080	59082	pCAMTA3-22C-cycloheximide_S6_peak_25	18	.	1.8397599999999998	1.8924	0.26218	59081	1	58478	61979	.	-	CDS	0
AT1G01130	1	63380	63382	pCAMTA3-22C-cycloheximide_S6_peak_26	25	.	2.11585	2.51724	0.48353	63381	1	63311	66812	.	-	CDS	0
AT1G01140	1	70000	70002	pCAMTA3-22C-cycloheximide_S6_peak_30	32	.	2.3582	3.2932	0.9356	70001	1	67012	70513	.	-	CDS	0
