feat_acc	chrom	start	end	acc	score	strand	FC	neglogPval	neglogQval	summit	feat_chrom	feat_start	feat_end	feat_score	feat_strand	feat_FC	distance
AT1G01010	1	1275	1277	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_3	12	.	1.56651	1.2728700000000002	0.0	1276	1	759	4260	.	+	CDS	0
AT1G01020	1	10300	10302	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_12	37	.	2.54763	3.7614400000000003	0.8678299999999999	10301	1	8166	11667	.	-	CDS	0
AT1G01030	1	14591	14593	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_14	19	.	1.9194	1.9426900000000002	0.18384	14592	1	12440	15941	.	-	CDS	0
AT1G01040	1	23866	23868	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_19	39	.	2.62583	3.93448	0.88734	23867	1	20518	24019	.	+	CDS	0
AT1G01050	1	32332	32334	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_23	45	.	2.7294400000000003	4.52093	1.25395	32333	1	32170	35671	.	-	CDS	0
AT1G01060	1	37292	37294	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_27	21	.	2.00946	2.11362	0.18384	37293	1	36561	40062	.	-	CDS	0
AT1G01070	1	43780	43782	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_35	34	.	2.47174	3.4382	0.65066	43781	1	40377	43878	.	-	CDS	0
AT1G01073	1	43780	43782	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_35	34	.	2.47174	3.4382	0.65066	43781	1	41676	45177	.	+	CDS	0
AT1G01080	1	47959	47961	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_38	25	.	2.16355	2.52617	0.31243000000000004	47960	1	46289	49790	.	-	CDS	0
AT1G01090	1	49486	49488	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_40	24	.	2.06488	2.44027	0.31243000000000004	49487	1	48666	52167	.	-	CDS	0
AT1G01100	1	52320	52322	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_41	29	.	2.31765	2.96825	0.4734100000000001	52321	1	50454	53955	.	-	CDS	0
AT1G01110	1	52320	52322	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_41	29	.	2.31765	2.96825	0.4734100000000001	52321	1	49238	52739	.	+	CDS	0
AT1G01115	1	56667	56669	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_42	30	.	2.2994	3.06638	0.53296	56668	1	53623	57124	.	+	CDS	0
AT1G01120	1	58586	58588	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_43	27	.	2.2137700000000002	2.75264	0.4734100000000001	58587	1	58478	61979	.	-	CDS	0
AT1G01130	1	63407	63409	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_48	21	.	1.9774200000000002	2.15435	0.21585	63408	1	63311	66812	.	-	CDS	0
AT1G01140	1	70422	70424	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_51	21	.	2.00946	2.11362	0.18384	70423	1	67012	70513	.	-	CDS	0
AT1G01150	1	72881	72883	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_53	34	.	2.47174	3.4382	0.65066	72882	1	71498	74999	.	-	CDS	0
AT1G01160	1	72881	72883	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_53	34	.	2.47174	3.4382	0.65066	72882	1	69582	73083	.	+	CDS	0
AT1G01170	1	76704	76706	1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peak_54	39	.	2.62583	3.93448	0.88734	76705	1	73943	77444	.	-	CDS	0
